business_id,rest_name,address,city,postal_code,latitude,longitude,rest_avg_stars,total_reviews,is_open,categories,review_id,user_id,review_stars,review_text
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,sR9e_G0JdycDTGV4S-Ma2w,qXztukjlJFpu3T-EmSWIIQ,5,"Incredible, the chicken is so tender, seasoning just perfectly (especially the jerk) - we also tried the fried chicken - yum!, lamb curry - mouth watering..."
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,ArpqFM_KEDrP0fJScO09Zw,KhpA23RweKsO9TDaGpE2xg,4,"We were able to check this place out yesterday. It was surprising to be able to go to a Caribbean spot open on a Sunday, so honestly great if you're ever..."
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,w56U5WwwCzd2Sz9aXsuXjQ,XbiKsujS_qxU3xsr0xUqmQ,4,I think this will be our go-to before any events at History from now on. We dropped by a good 30min to spare and shared a jerk chicken plate with rice and...
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,sR9e_G0JdycDTGV4S-Ma2w,qXztukjlJFpu3T-EmSWIIQ,5,"Incredible, the chicken is so tender, seasoning just perfectly (especially the jerk) - we also tried the fried chicken - yum!, lamb curry - mouth watering..."
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,ArpqFM_KEDrP0fJScO09Zw,KhpA23RweKsO9TDaGpE2xg,4,"We were able to check this place out yesterday. It was surprising to be able to go to a Caribbean spot open on a Sunday, so honestly great if you're ever..."
Ohengzi4viLEXqhK50aLxg,Jaclyn's,"1588 Queen Street E, Toronto, ON M4L 1G1, Canada",Toronto,M4L 1G1,43.66627,-79.31802,4.5,15,True,Caribbean,w56U5WwwCzd2Sz9aXsuXjQ,XbiKsujS_qxU3xsr0xUqmQ,4,I think this will be our go-to before any events at History from now on. We dropped by a good 30min to spare and shared a jerk chicken plate with rice and...
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",2suWW8X7h1ebvnXEFIupkw,JxTE65Qm5_r7zhpp3u609w,5,"There aren't many places you can get good pizza like this anymore, and certainly not in the East.  Everyone has either jumped on theNapoli style or they do..."
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",yAaxlz-0mgcJIgu7UuLZiA,Aa5bZsoNRHgYkkw193Wu6A,3,"Been going to Giorgio's for years. Not sure why I haven't written a review before. The good is your basic Italian fair, pizza, pasta etc. 
Went with a..."
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",znLjJbMDRooUJXbNJJ-PtA,tgoFJymQA48Ob4flpiCwWQ,1,"WOOF! What an embarrassing meal. if you like anything that resembles authentic Italian food, this probably isn't the place for you.  We spent $85 on takeout..."
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",2suWW8X7h1ebvnXEFIupkw,JxTE65Qm5_r7zhpp3u609w,5,"There aren't many places you can get good pizza like this anymore, and certainly not in the East.  Everyone has either jumped on theNapoli style or they do..."
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",yAaxlz-0mgcJIgu7UuLZiA,Aa5bZsoNRHgYkkw193Wu6A,3,"Been going to Giorgio's for years. Not sure why I haven't written a review before. The good is your basic Italian fair, pizza, pasta etc. 
Went with a..."
Huo1lJmVkdqvFuLtA74Nhw,Casa Di Giorgios,"1646 Queen St E, Toronto, ON M4L 1G3, Canada",Toronto,M4L 1G3,43.6668499,-79.31518,4.0,75,True,"Italian, Pizza",znLjJbMDRooUJXbNJJ-PtA,tgoFJymQA48Ob4flpiCwWQ,1,"WOOF! What an embarrassing meal. if you like anything that resembles authentic Italian food, this probably isn't the place for you.  We spent $85 on takeout..."
yP71_LfUPnGIRqA2g09RoQ,Lake Inez,"1471 Gerrard Street E, Toronto, ON M4L 2A1, Canada",Toronto,M4L 2A1,43.67234,-79.32064,4.5,94,True,"Bars, Asian Fusion",aMGRD0r2M0Wc2nc6NujzkA,dTeSvET2SR5LDF_J07wJAQ,5,"Came here for a date last summer (oops late review) and the interior is romantic, dimly lit, and great for a date. 

We tried various items on their menu. I..."
yP71_LfUPnGIRqA2g09RoQ,Lake Inez,"1471 Gerrard Street E, Toronto, ON M4L 2A1, Canada",Toronto,M4L 2A1,43.67234,-79.32064,4.5,94,True,"Bars, Asian Fusion",qrGWFUA3uedCoBrGDUPGbA,cQbDiKAdYL2FoIphQ1Wkog,5,"The food here was amazing! Came for a bday dinner and we were all so satisfied with the menu - dug in before having a chance to take photos!

Food here is..."
